time;logger;level;message;exception
2011-11-22 10:59:57.1537;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3192913920
  PollingInterval     = 00:02:00";
2011-11-22 10:59:57.1937;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2011-11-22 11:00:00.1278;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.ForEntityNames.Add(null);
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.ForEntityNames.Add(null);
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2011-11-22 11:00:00.1408;Raven.Database.Indexing.IndexStorage;Debug;Loading saved index Raven/DocumentsByEntityName;
2011-11-22 11:00:00.1868;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Raven/DocumentsByEntityName;
2011-11-22 11:00:00.2478;Raven.Database.DocumentDatabase;Debug;Delete a document with key: Raven/Backup/Status and etag ;
2011-11-22 11:00:00.2658;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found, and considered deleted;
2011-11-22 11:00:53.8119;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Databases/DotNetQuizTest' was found;
2011-11-22 11:00:53.9319;Raven.Database.Server.HttpServer;Debug;Request #   1: GET     -   150 ms - <default>  - 200 - /docs/Raven/Databases/DotNetQuizTest;
2011-11-22 11:00:53.9739;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-11-22 11:00:53.9739;Raven.Database.Server.HttpServer;Debug;Request #   2: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-11-22 11:06:34.0894;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Databases/DotNetQuizTest' was found;
2011-11-22 11:06:34.0894;Raven.Database.Server.HttpServer;Debug;Request #   3: GET     -    10 ms - <default>  - 200 - /docs/Raven/Databases/DotNetQuizTest;
2011-11-22 11:06:34.0894;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2011-11-22 11:06:34.0894;Raven.Database.Server.HttpServer;Debug;Request #   4: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2011-11-22 11:06:45.9880;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Databases/DotNetQuizTest' was found;
2011-11-22 11:06:45.9880;Raven.Database.Server.HttpServer;Debug;Request #   5: GET     -     2 ms - <default>  - 200 - /docs/Raven/Databases/DotNetQuizTest;
